Code Domaine;Domaine;Code zone (M49);Zone;Code Élément;Élément;Code Produit;Produit;Code année;Année;Code source;Source;Unité;Valeur;Symbole;Description du Symbole;Note
GT;Totaux des émissions;504;Maroc;7273;Émissions (CO2);6995;Émissions sur les terres agricoles;1990;1990;3050;FAO TIER 1;kilotonnes;640.7831;E;Valeur estimée;
GT;Totaux des émissions;504;Maroc;7273;Émissions (CO2);6995;Émissions sur les terres agricoles;1991;1991;3050;FAO TIER 1;kilotonnes;737.4184;E;Valeur estimée;
GT;Totaux des émissions;504;Maroc;7273;Émissions (CO2);6995;Émissions sur les terres agricoles;1992;1992;3050;FAO TIER 1;kilotonnes;844.2204;E;Valeur estimée;
GT;Totaux des émissions;504;Maroc;7273;Émissions (CO2);6995;Émissions sur les terres agricoles;1993;1993;3050;FAO TIER 1;kilotonnes;902.173;E;Valeur estimée;
GT;Totaux des émissions;504;Maroc;7273;Émissions (CO2);6995;Émissions sur les terres agricoles;1994;1994;3050;FAO TIER 1;kilotonnes;986.5195;E;Valeur estimée;
GT;Totaux des émissions;504;Maroc;7273;Émissions (CO2);6995;Émissions sur les terres agricoles;1995;1995;3050;FAO TIER 1;kilotonnes;1011.8948;E;Valeur estimée;
GT;Totaux des émissions;504;Maroc;7273;Émissions (CO2);6995;Émissions sur les terres agricoles;1996;1996;3050;FAO TIER 1;kilotonnes;1047.0462;E;Valeur estimée;
GT;Totaux des émissions;504;Maroc;7273;Émissions (CO2);6995;Émissions sur les terres agricoles;1997;1997;3050;FAO TIER 1;kilotonnes;1078.1345;E;Valeur estimée;
GT;Totaux des émissions;504;Maroc;7273;Émissions (CO2);6995;Émissions sur les terres agricoles;1998;1998;3050;FAO TIER 1;kilotonnes;1091.2868;E;Valeur estimée;
GT;Totaux des émissions;504;Maroc;7273;Émissions (CO2);6995;Émissions sur les terres agricoles;1999;1999;3050;FAO TIER 1;kilotonnes;1196.3927;E;Valeur estimée;
GT;Totaux des émissions;504;Maroc;7273;Émissions (CO2);6995;Émissions sur les terres agricoles;2000;2000;3050;FAO TIER 1;kilotonnes;1190.1839;E;Valeur estimée;
GT;Totaux des émissions;504;Maroc;7273;Émissions (CO2);6995;Émissions sur les terres agricoles;2001;2001;3050;FAO TIER 1;kilotonnes;1308.2845;E;Valeur estimée;
GT;Totaux des émissions;504;Maroc;7273;Émissions (CO2);6995;Émissions sur les terres agricoles;2002;2002;3050;FAO TIER 1;kilotonnes;1376.025;E;Valeur estimée;
GT;Totaux des émissions;504;Maroc;7273;Émissions (CO2);6995;Émissions sur les terres agricoles;2003;2003;3050;FAO TIER 1;kilotonnes;1419.5256;E;Valeur estimée;
GT;Totaux des émissions;504;Maroc;7273;Émissions (CO2);6995;Émissions sur les terres agricoles;2004;2004;3050;FAO TIER 1;kilotonnes;1559.2025;E;Valeur estimée;
GT;Totaux des émissions;504;Maroc;7273;Émissions (CO2);6995;Émissions sur les terres agricoles;2005;2005;3050;FAO TIER 1;kilotonnes;1805.3782;E;Valeur estimée;
GT;Totaux des émissions;504;Maroc;7273;Émissions (CO2);6995;Émissions sur les terres agricoles;2006;2006;3050;FAO TIER 1;kilotonnes;2170.1687;E;Valeur estimée;
GT;Totaux des émissions;504;Maroc;7273;Émissions (CO2);6995;Émissions sur les terres agricoles;2007;2007;3050;FAO TIER 1;kilotonnes;2633.3422;E;Valeur estimée;
GT;Totaux des émissions;504;Maroc;7273;Émissions (CO2);6995;Émissions sur les terres agricoles;2008;2008;3050;FAO TIER 1;kilotonnes;3202.4484;E;Valeur estimée;
GT;Totaux des émissions;504;Maroc;7273;Émissions (CO2);6995;Émissions sur les terres agricoles;2009;2009;3050;FAO TIER 1;kilotonnes;3379.0057;E;Valeur estimée;
GT;Totaux des émissions;504;Maroc;7273;Émissions (CO2);6995;Émissions sur les terres agricoles;2010;2010;3050;FAO TIER 1;kilotonnes;3451.7344;E;Valeur estimée;
GT;Totaux des émissions;504;Maroc;7273;Émissions (CO2);6995;Émissions sur les terres agricoles;2011;2011;3050;FAO TIER 1;kilotonnes;3053.1146;E;Valeur estimée;
GT;Totaux des émissions;504;Maroc;7273;Émissions (CO2);6995;Émissions sur les terres agricoles;2012;2012;3050;FAO TIER 1;kilotonnes;3164.8841;E;Valeur estimée;
GT;Totaux des émissions;504;Maroc;7273;Émissions (CO2);6995;Émissions sur les terres agricoles;2013;2013;3050;FAO TIER 1;kilotonnes;3263.278;E;Valeur estimée;
GT;Totaux des émissions;504;Maroc;7273;Émissions (CO2);6995;Émissions sur les terres agricoles;2014;2014;3050;FAO TIER 1;kilotonnes;3322.1213;E;Valeur estimée;
GT;Totaux des émissions;504;Maroc;7273;Émissions (CO2);6995;Émissions sur les terres agricoles;2015;2015;3050;FAO TIER 1;kilotonnes;3406.0697;E;Valeur estimée;
GT;Totaux des émissions;504;Maroc;7273;Émissions (CO2);6995;Émissions sur les terres agricoles;2016;2016;3050;FAO TIER 1;kilotonnes;2700.835;E;Valeur estimée;
GT;Totaux des émissions;504;Maroc;7273;Émissions (CO2);6995;Émissions sur les terres agricoles;2017;2017;3050;FAO TIER 1;kilotonnes;2913.9182;E;Valeur estimée;
GT;Totaux des émissions;504;Maroc;7273;Émissions (CO2);6995;Émissions sur les terres agricoles;2018;2018;3050;FAO TIER 1;kilotonnes;2997.4665;E;Valeur estimée;
GT;Totaux des émissions;504;Maroc;7273;Émissions (CO2);6995;Émissions sur les terres agricoles;2019;2019;3050;FAO TIER 1;kilotonnes;3096.036;E;Valeur estimée;
GT;Totaux des émissions;504;Maroc;7273;Émissions (CO2);6995;Émissions sur les terres agricoles;2020;2020;3050;FAO TIER 1;kilotonnes;3096.036;E;Valeur estimée;
