Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Code Mois,Mois,Unité,Valeur,Symbole,Description du Symbole
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01312","Bananes","1998","1998","7021","Valeur annuel","USD","587.5","X","Ciffre de sources internationales"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01312","Bananes","1999","1999","7021","Valeur annuel","USD","604.5","X","Ciffre de sources internationales"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01312","Bananes","2000","2000","7021","Valeur annuel","USD","625.8","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01312","Bananes","2001","2001","7021","Valeur annuel","USD","599","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01312","Bananes","2002","2002","7021","Valeur annuel","USD","616.1","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01312","Bananes","2003","2003","7021","Valeur annuel","USD","624.6","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01312","Bananes","2004","2004","7021","Valeur annuel","USD","692.4","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01312","Bananes","2005","2005","7021","Valeur annuel","USD","753.5","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01312","Bananes","2006","2006","7021","Valeur annuel","USD","617.4","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01312","Bananes","2007","2007","7021","Valeur annuel","USD","865.4","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01312","Bananes","2008","2008","7021","Valeur annuel","USD","916.1","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01312","Bananes","2009","2009","7021","Valeur annuel","USD","896.1","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01312","Bananes","2010","2010","7021","Valeur annuel","USD","843.5","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01312","Bananes","2011","2011","7021","Valeur annuel","USD","881.3","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01312","Bananes","2012","2012","7021","Valeur annuel","USD","882","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01312","Bananes","2013","2013","7021","Valeur annuel","USD","847.1","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01312","Bananes","2014","2014","7021","Valeur annuel","USD","750.6","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01312","Bananes","2015","2015","7021","Valeur annuel","USD","684.1","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01312","Bananes","2016","2016","7021","Valeur annuel","USD","736.2","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01312","Bananes","2017","2017","7021","Valeur annuel","USD","435.9","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01312","Bananes","2018","2018","7021","Valeur annuel","USD","554.5","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01312","Bananes","2019","2019","7021","Valeur annuel","USD","445.6","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01312","Bananes","2020","2020","7021","Valeur annuel","USD","505.4","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01323","Oranges","1998","1998","7021","Valeur annuel","USD","126","X","Ciffre de sources internationales"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01323","Oranges","1999","1999","7021","Valeur annuel","USD","183.6","X","Ciffre de sources internationales"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01323","Oranges","2000","2000","7021","Valeur annuel","USD","147.8","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01323","Oranges","2001","2001","7021","Valeur annuel","USD","188.4","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01323","Oranges","2002","2002","7021","Valeur annuel","USD","201.4","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01323","Oranges","2003","2003","7021","Valeur annuel","USD","193.2","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01323","Oranges","2004","2004","7021","Valeur annuel","USD","307.8","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01323","Oranges","2005","2005","7021","Valeur annuel","USD","191.8","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01323","Oranges","2006","2006","7021","Valeur annuel","USD","266","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01323","Oranges","2007","2007","7021","Valeur annuel","USD","390.6","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01323","Oranges","2008","2008","7021","Valeur annuel","USD","409","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01323","Oranges","2009","2009","7021","Valeur annuel","USD","389.7","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01323","Oranges","2010","2010","7021","Valeur annuel","USD","493","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01323","Oranges","2011","2011","7021","Valeur annuel","USD","407.9","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01323","Oranges","2012","2012","7021","Valeur annuel","USD","325.7","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01323","Oranges","2013","2013","7021","Valeur annuel","USD","544.9","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01323","Oranges","2014","2014","7021","Valeur annuel","USD","305.7","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01323","Oranges","2015","2015","7021","Valeur annuel","USD","327.7","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01323","Oranges","2016","2016","7021","Valeur annuel","USD","394.6","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01323","Oranges","2017","2017","7021","Valeur annuel","USD","228.1","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01323","Oranges","2018","2018","7021","Valeur annuel","USD","255.3","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01323","Oranges","2019","2019","7021","Valeur annuel","USD","139.3","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01323","Oranges","2020","2020","7021","Valeur annuel","USD","279","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01341","Pommes","2000","2000","7021","Valeur annuel","USD","517.6","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01341","Pommes","2001","2001","7021","Valeur annuel","USD","525.5","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01341","Pommes","2002","2002","7021","Valeur annuel","USD","585.3","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01341","Pommes","2003","2003","7021","Valeur annuel","USD","662.2","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01341","Pommes","2004","2004","7021","Valeur annuel","USD","730.7","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01341","Pommes","2005","2005","7021","Valeur annuel","USD","586.6","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01341","Pommes","2006","2006","7021","Valeur annuel","USD","777.7","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01341","Pommes","2007","2007","7021","Valeur annuel","USD","782.4","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01341","Pommes","2008","2008","7021","Valeur annuel","USD","974.2","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01341","Pommes","2009","2009","7021","Valeur annuel","USD","1058.7","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01341","Pommes","2010","2010","7021","Valeur annuel","USD","1049","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01341","Pommes","2011","2011","7021","Valeur annuel","USD","966.6","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01341","Pommes","2012","2012","7021","Valeur annuel","USD","928.3","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01341","Pommes","2013","2013","7021","Valeur annuel","USD","1011.2","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01341","Pommes","2014","2014","7021","Valeur annuel","USD","856.5","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01341","Pommes","2015","2015","7021","Valeur annuel","USD","747.6","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01341","Pommes","2016","2016","7021","Valeur annuel","USD","832","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01341","Pommes","2017","2017","7021","Valeur annuel","USD","467.4","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01341","Pommes","2018","2018","7021","Valeur annuel","USD","402.7","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01341","Pommes","2019","2019","7021","Valeur annuel","USD","436.7","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01341","Pommes","2020","2020","7021","Valeur annuel","USD","394.4","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01510","Pommes de terre","1993","1993","7021","Valeur annuel","USD","276.4","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01510","Pommes de terre","1994","1994","7021","Valeur annuel","USD","223.8","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01510","Pommes de terre","1995","1995","7021","Valeur annuel","USD","311.5","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01510","Pommes de terre","1996","1996","7021","Valeur annuel","USD","218","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01510","Pommes de terre","1997","1997","7021","Valeur annuel","USD","185.8","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01510","Pommes de terre","1998","1998","7021","Valeur annuel","USD","263.4","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01510","Pommes de terre","1999","1999","7021","Valeur annuel","USD","205","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01510","Pommes de terre","2000","2000","7021","Valeur annuel","USD","188.2","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01510","Pommes de terre","2001","2001","7021","Valeur annuel","USD","175.2","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01510","Pommes de terre","2002","2002","7021","Valeur annuel","USD","153.3","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01510","Pommes de terre","2003","2003","7021","Valeur annuel","USD","204.7","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01510","Pommes de terre","2004","2004","7021","Valeur annuel","USD","213.1","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01510","Pommes de terre","2005","2005","7021","Valeur annuel","USD","217.7","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01510","Pommes de terre","2006","2006","7021","Valeur annuel","USD","266","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01510","Pommes de terre","2007","2007","7021","Valeur annuel","USD","301.5","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01510","Pommes de terre","2008","2008","7021","Valeur annuel","USD","269.7","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01510","Pommes de terre","2009","2009","7021","Valeur annuel","USD","249.5","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01510","Pommes de terre","2010","2010","7021","Valeur annuel","USD","351.7","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01510","Pommes de terre","2011","2011","7021","Valeur annuel","USD","299.1","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01510","Pommes de terre","2012","2012","7021","Valeur annuel","USD","257.3","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01510","Pommes de terre","2013","2013","7021","Valeur annuel","USD","283.1","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01510","Pommes de terre","2014","2014","7021","Valeur annuel","USD","211.7","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01510","Pommes de terre","2015","2015","7021","Valeur annuel","USD","201.8","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01510","Pommes de terre","2016","2016","7021","Valeur annuel","USD","203.9","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01510","Pommes de terre","2017","2017","7021","Valeur annuel","USD","189.8","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01510","Pommes de terre","2018","2018","7021","Valeur annuel","USD","229.1","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01510","Pommes de terre","2019","2019","7021","Valeur annuel","USD","216.8","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01510","Pommes de terre","2020","2020","7021","Valeur annuel","USD","221.1","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01234","Tomates, fraiches","1993","1993","7021","Valeur annuel","USD","193.6","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01234","Tomates, fraiches","1994","1994","7021","Valeur annuel","USD","156.5","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01234","Tomates, fraiches","1995","1995","7021","Valeur annuel","USD","234.2","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01234","Tomates, fraiches","1996","1996","7021","Valeur annuel","USD","184.7","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01234","Tomates, fraiches","1997","1997","7021","Valeur annuel","USD","163.7","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01234","Tomates, fraiches","1998","1998","7021","Valeur annuel","USD","169.7","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01234","Tomates, fraiches","1999","1999","7021","Valeur annuel","USD","197.9","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01234","Tomates, fraiches","2000","2000","7021","Valeur annuel","USD","160","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01234","Tomates, fraiches","2001","2001","7021","Valeur annuel","USD","134.5","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01234","Tomates, fraiches","2002","2002","7021","Valeur annuel","USD","150.6","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01234","Tomates, fraiches","2003","2003","7021","Valeur annuel","USD","208.9","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01234","Tomates, fraiches","2004","2004","7021","Valeur annuel","USD","164.6","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01234","Tomates, fraiches","2005","2005","7021","Valeur annuel","USD","199.7","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01234","Tomates, fraiches","2006","2006","7021","Valeur annuel","USD","164.9","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01234","Tomates, fraiches","2007","2007","7021","Valeur annuel","USD","224.6","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01234","Tomates, fraiches","2008","2008","7021","Valeur annuel","USD","263.2","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01234","Tomates, fraiches","2009","2009","7021","Valeur annuel","USD","286.7","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01234","Tomates, fraiches","2010","2010","7021","Valeur annuel","USD","238.8","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01234","Tomates, fraiches","2011","2011","7021","Valeur annuel","USD","260.8","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01234","Tomates, fraiches","2012","2012","7021","Valeur annuel","USD","279.3","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01234","Tomates, fraiches","2013","2013","7021","Valeur annuel","USD","274.8","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01234","Tomates, fraiches","2014","2014","7021","Valeur annuel","USD","271.2","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01234","Tomates, fraiches","2015","2015","7021","Valeur annuel","USD","172.1","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01234","Tomates, fraiches","2016","2016","7021","Valeur annuel","USD","198.8","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01234","Tomates, fraiches","2017","2017","7021","Valeur annuel","USD","209.5","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01234","Tomates, fraiches","2018","2018","7021","Valeur annuel","USD","216.9","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01234","Tomates, fraiches","2019","2019","7021","Valeur annuel","USD","239.7","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01234","Tomates, fraiches","2020","2020","7021","Valeur annuel","USD","252.7","A","Chiffre officiel"
